For condition '658', Best Medicine ID: 101269, Confidence: 2.247229717214014
For condition '344', Best Medicine ID: 46210, Confidence: 0.9781521522150869
For condition '780', Best Medicine ID: 56839, Confidence: 1.8089712269182874
For condition '735', Best Medicine ID: 153627, Confidence: 1.3838847560728085
For condition '299', Best Medicine ID: 214761, Confidence: 1.3705289562551934
For condition '386', Best Medicine ID: 62898, Confidence: 1.461521141450386
For condition '324', Best Medicine ID: 105733, Confidence: 1.0284232005552019
For condition '308', Best Medicine ID: 86807, Confidence: 0.8777875652603753
For condition '81', Best Medicine ID: 51017, Confidence: 0.5569471712291694
For condition '331', Best Medicine ID: 8840, Confidence: 1.1494926646368109
For condition '289', Best Medicine ID: 46982, Confidence: 1.5971898580314678
For condition '159', Best Medicine ID: 206756, Confidence: 0.6942001330746148
For condition '265', Best Medicine ID: 46615, Confidence: 0.9569272661641084
For condition '644', Best Medicine ID: 56423, Confidence: 1.4678427391978486
For condition '323', Best Medicine ID: 22335, Confidence: 1.1409198157583418
For condition '176', Best Medicine ID: 60457, Confidence: 1.00697242023636
For condition '286', Best Medicine ID: 3780, Confidence: 1.0874498978274496
For condition '460', Best Medicine ID: 187301, Confidence: 1.5661979985323948
For condition '239', Best Medicine ID: 116586, Confidence: 0.6683756723928944
For condition '685', Best Medicine ID: 201400, Confidence: 1.6188829614348812
For condition '419', Best Medicine ID: 38281, Confidence: 1.514318045064786
For condition '219', Best Medicine ID: 187356, Confidence: 1.4630019603776727
For condition '133', Best Medicine ID: 115198, Confidence: 0.6404781560474522
For condition '315', Best Medicine ID: 179156, Confidence: 1.2269429139879133
For condition '401', Best Medicine ID: 62900, Confidence: 1.5159662035304042
For condition '96', Best Medicine ID: 152481, Confidence: 0.8841281014021871
For condition '515', Best Medicine ID: 139520, Confidence: 1.3958294626998362
For condition '359', Best Medicine ID: 169236, Confidence: 0.9312418697836446
For condition '457', Best Medicine ID: 110979, Confidence: 1.219580321754707
For condition '30', Best Medicine ID: 148076, Confidence: 0.6496639767772439
For condition '788', Best Medicine ID: 21442, Confidence: 1.8512397122234971
For condition '528', Best Medicine ID: 53364, Confidence: 1.5157712553711762
For condition '586', Best Medicine ID: 118847, Confidence: 1.4409004880915364
For condition '494', Best Medicine ID: 11320, Confidence: 1.0944514302896025
For condition '57', Best Medicine ID: 200914, Confidence: 0.547917409050845
For condition '314', Best Medicine ID: 207189, Confidence: 1.0052713371694875
For condition '809', Best Medicine ID: 2415, Confidence: 1.5429785691746463
For condition '784', Best Medicine ID: 56904, Confidence: 1.682769939122894
For condition '507', Best Medicine ID: 53388, Confidence: 1.390722958311052
For condition '416', Best Medicine ID: 93910, Confidence: 1.447956351032352
For condition '623', Best Medicine ID: 80585, Confidence: 1.553469218294917
For condition '168', Best Medicine ID: 115242, Confidence: 0.823621492594584
For condition '381', Best Medicine ID: 119692, Confidence: 1.0614282308812315
For condition '77', Best Medicine ID: 6648, Confidence: 0.8369447770217815
For condition '118', Best Medicine ID: 21800, Confidence: 0.5713202107198443
For condition '380', Best Medicine ID: 59547, Confidence: 1.182280233955808
For condition '666', Best Medicine ID: 80573, Confidence: 1.5950750304176307
For condition '149', Best Medicine ID: 111112, Confidence: 0.6885155324989016
For condition '468', Best Medicine ID: 117668, Confidence: 1.3028880384306492
For condition '240', Best Medicine ID: 229089, Confidence: 0.9312752278088241
For condition '409', Best Medicine ID: 62911, Confidence: 1.632525410248685
For condition '527', Best Medicine ID: 218318, Confidence: 1.4701613996683323
For condition '711', Best Medicine ID: 226094, Confidence: 1.4252967839300976
For condition '104', Best Medicine ID: 161120, Confidence: 0.48960144036564474
For condition '571', Best Medicine ID: 116240, Confidence: 1.4719286680136898
For condition '92', Best Medicine ID: 37303, Confidence: 0.9321632963851414
For condition '713', Best Medicine ID: 197981, Confidence: 2.4153137091510963
For condition '28', Best Medicine ID: 209655, Confidence: 0.7791112132792628
For condition '197', Best Medicine ID: 179070, Confidence: 1.226997443320695
For condition '117', Best Medicine ID: 74800, Confidence: 0.5879870306449326
For condition '539', Best Medicine ID: 53354, Confidence: 1.575954833101561
For condition '35', Best Medicine ID: 74733, Confidence: 0.8652772397749868
For condition '56', Best Medicine ID: 6653, Confidence: 0.5649712917136156
For condition '251', Best Medicine ID: 56969, Confidence: 1.222757562880981
For condition '739', Best Medicine ID: 181059, Confidence: 2.1441002168604943
For condition '167', Best Medicine ID: 160230, Confidence: 0.5912754237243298
For condition '633', Best Medicine ID: 114681, Confidence: 1.4010831544988083
For condition '22', Best Medicine ID: 34550, Confidence: 0.6931442234326994
For condition '292', Best Medicine ID: 105703, Confidence: 1.0127707660816978
For condition '479', Best Medicine ID: 11327, Confidence: 1.5513409752947935
For condition '686', Best Medicine ID: 95690, Confidence: 1.509647836814973
For condition '278', Best Medicine ID: 105678, Confidence: 0.8778000284717231
For condition '188', Best Medicine ID: 79806, Confidence: 0.5820621168034008
For condition '52', Best Medicine ID: 74746, Confidence: 0.807564696924649
For condition '587', Best Medicine ID: 118836, Confidence: 1.528987621817432
For condition '549', Best Medicine ID: 146690, Confidence: 1.4489309435473743
For condition '102', Best Medicine ID: 152479, Confidence: 0.7690785227431083
For condition '597', Best Medicine ID: 80771, Confidence: 1.3699569533978042
For condition '582', Best Medicine ID: 50418, Confidence: 1.4105234727686553
For condition '216', Best Medicine ID: 58464, Confidence: 0.9024879952863856
For condition '285', Best Medicine ID: 27620, Confidence: 0.9586560386105498
For condition '578', Best Medicine ID: 58311, Confidence: 1.2533639676075135
For condition '318', Best Medicine ID: 117238, Confidence: 1.2534023156686696
For condition '297', Best Medicine ID: 153841, Confidence: 0.9800813723606581
For condition '177', Best Medicine ID: 145406, Confidence: 0.7923654604052239
For condition '397', Best Medicine ID: 62905, Confidence: 1.5466426050299082
For condition '766', Best Medicine ID: 176090, Confidence: 1.8349761563606872
For condition '697', Best Medicine ID: 7954, Confidence: 1.3363498056852015
For condition '546', Best Medicine ID: 66068, Confidence: 1.3175421514589578
For condition '820', Best Medicine ID: 20387, Confidence: 1.9043713714843298
For condition '312', Best Medicine ID: 22381, Confidence: 0.9865147927018418
For condition '588', Best Medicine ID: 62315, Confidence: 1.571785889242419
For condition '420', Best Medicine ID: 38282, Confidence: 1.4734974450336182
For condition '212', Best Medicine ID: 207030, Confidence: 0.6236942897951416
For condition '731', Best Medicine ID: 47125, Confidence: 1.8793733397818007
For condition '594', Best Medicine ID: 119021, Confidence: 1.4796179080299074
For condition '639', Best Medicine ID: 139258, Confidence: 1.360300261012536
For condition '423', Best Medicine ID: 38285, Confidence: 1.369871168211309
For condition '15', Best Medicine ID: 13853, Confidence: 0.47857543104774963
For condition '826', Best Medicine ID: 32763, Confidence: 2.154034798760323
For condition '211', Best Medicine ID: 187382, Confidence: 1.3015290943353155
For condition '819', Best Medicine ID: 83442, Confidence: 1.83274323421388
For condition '55', Best Medicine ID: 158625, Confidence: 0.4612349361649977
For condition '691', Best Medicine ID: 134877, Confidence: 1.4494788998274657
For condition '51', Best Medicine ID: 120417, Confidence: 0.4965133801149633
For condition '394', Best Medicine ID: 152341, Confidence: 1.2915854614062996
For condition '366', Best Medicine ID: 8800, Confidence: 1.4777281036604066
For condition '632', Best Medicine ID: 157192, Confidence: 1.2215140110677223
For condition '369', Best Medicine ID: 119658, Confidence: 1.043459853806115
For condition '147', Best Medicine ID: 179148, Confidence: 0.741315124369802
For condition '298', Best Medicine ID: 105708, Confidence: 1.083048759559807
For condition '825', Best Medicine ID: 6343, Confidence: 1.896776697248339
For condition '497', Best Medicine ID: 29640, Confidence: 1.5423265735799823
For condition '476', Best Medicine ID: 11326, Confidence: 1.4186696450140577
For condition '425', Best Medicine ID: 133557, Confidence: 1.097001755533209
For condition '615', Best Medicine ID: 80587, Confidence: 1.4941834852882554
For condition '740', Best Medicine ID: 47133, Confidence: 1.807408521844493
For condition '805', Best Medicine ID: 83432, Confidence: 1.7572684821950584
For condition '538', Best Medicine ID: 53354, Confidence: 1.574148330164832
For condition '174', Best Medicine ID: 211266, Confidence: 0.8806577022102318
For condition '706', Best Medicine ID: 218291, Confidence: 1.6956111367471869
For condition '141', Best Medicine ID: 113537, Confidence: 0.7920687047080679
For condition '553', Best Medicine ID: 78085, Confidence: 1.298565890626119
For condition '227', Best Medicine ID: 105384, Confidence: 0.7469890945084792
For condition '636', Best Medicine ID: 80580, Confidence: 1.6593819494643953
For condition '771', Best Medicine ID: 40903, Confidence: 1.9516208737398828
For condition '716', Best Medicine ID: 153562, Confidence: 1.4948859818497966
For condition '430', Best Medicine ID: 38291, Confidence: 1.1399521356643163
For condition '470', Best Medicine ID: 141803, Confidence: 1.1330144306021772
For condition '511', Best Medicine ID: 117274, Confidence: 1.31598040582874
For condition '225', Best Medicine ID: 27509, Confidence: 0.9115674361683705
For condition '424', Best Medicine ID: 52450, Confidence: 1.2058247201275727
For condition '351', Best Medicine ID: 8817, Confidence: 1.203155232169328
For condition '32', Best Medicine ID: 120411, Confidence: 0.5788484825330449
For condition '37', Best Medicine ID: 120418, Confidence: 0.4881444952004214
For condition '619', Best Medicine ID: 119016, Confidence: 1.320631842399274
For condition '277', Best Medicine ID: 56969, Confidence: 1.3287270160427662
For condition '196', Best Medicine ID: 11379, Confidence: 0.7835633568869536
For condition '152', Best Medicine ID: 209685, Confidence: 0.7600069173605724
For condition '281', Best Medicine ID: 105689, Confidence: 1.0368741904438092
For condition '506', Best Medicine ID: 139590, Confidence: 1.4256891714340587
For condition '10', Best Medicine ID: 34765, Confidence: 0.6904858900550757
For condition '377', Best Medicine ID: 211122, Confidence: 1.3759968016022976
For condition '466', Best Medicine ID: 139521, Confidence: 1.291662971852348
For condition '535', Best Medicine ID: 53069, Confidence: 1.58067575420143
For condition '673', Best Medicine ID: 225182, Confidence: 1.6119184934412605
For condition '612', Best Medicine ID: 150556, Confidence: 2.146973000809047
For condition '198', Best Medicine ID: 179070, Confidence: 1.2186390111936538
For condition '398', Best Medicine ID: 187782, Confidence: 1.2364012859406608
For condition '563', Best Medicine ID: 78014, Confidence: 1.616180161135051
For condition '762', Best Medicine ID: 208512, Confidence: 1.5544986891145047
For condition '186', Best Medicine ID: 224137, Confidence: 0.7375639053241692
For condition '195', Best Medicine ID: 60453, Confidence: 1.190305998866838
For condition '182', Best Medicine ID: 160234, Confidence: 0.9946288393971139
For condition '456', Best Medicine ID: 179329, Confidence: 1.36310139219689
For condition '550', Best Medicine ID: 25621, Confidence: 1.2659924094088404
For condition '284', Best Medicine ID: 105696, Confidence: 1.1081054507267531
For condition '116', Best Medicine ID: 173228, Confidence: 0.5093396457791555
For condition '498', Best Medicine ID: 44415, Confidence: 1.139466017630519
For condition '209', Best Medicine ID: 187386, Confidence: 1.2766112314739089
For condition '541', Best Medicine ID: 38295, Confidence: 1.4675515855405763
For condition '604', Best Medicine ID: 21900, Confidence: 1.6177906233865929
For condition '449', Best Medicine ID: 38283, Confidence: 1.55461523871443
For condition '603', Best Medicine ID: 118806, Confidence: 1.8137439799354165
For condition '275', Best Medicine ID: 123480, Confidence: 0.96989598281748
For condition '187', Best Medicine ID: 187313, Confidence: 1.0876199074462076
For condition '742', Best Medicine ID: 47132, Confidence: 1.7237589500867925
For condition '88', Best Medicine ID: 226112, Confidence: 0.7378517691132931
For condition '630', Best Medicine ID: 153500, Confidence: 1.348607694395409
For condition '111', Best Medicine ID: 26982, Confidence: 0.5922984225622572
For condition '11', Best Medicine ID: 34738, Confidence: 0.6899606045789999
For condition '346', Best Medicine ID: 214637, Confidence: 1.147251137798997
For condition '383', Best Medicine ID: 187792, Confidence: 1.1656895516072647
For condition '503', Best Medicine ID: 139362, Confidence: 1.7654860973944229
For condition '329', Best Medicine ID: 28681, Confidence: 1.0996608555120153
For condition '85', Best Medicine ID: 6601, Confidence: 0.7340442899409207
For condition '91', Best Medicine ID: 172246, Confidence: 0.5523275106969567
For condition '270', Best Medicine ID: 66816, Confidence: 0.9263584566474719
For condition '492', Best Medicine ID: 11323, Confidence: 1.0731342221926625
For condition '752', Best Medicine ID: 47153, Confidence: 1.7931610935521234
For condition '484', Best Medicine ID: 141783, Confidence: 1.1723870972828356
For condition '729', Best Medicine ID: 222116, Confidence: 1.512910139407979
For condition '130', Best Medicine ID: 223994, Confidence: 0.6219946638149147
For condition '485', Best Medicine ID: 11325, Confidence: 1.3968611252213847
For condition '46', Best Medicine ID: 50468, Confidence: 0.48496919591447524
For condition '721', Best Medicine ID: 181064, Confidence: 1.9006313633046155
For condition '413', Best Medicine ID: 62922, Confidence: 1.5613350211177988
For condition '756', Best Medicine ID: 78385, Confidence: 1.6295325058538364
For condition '782', Best Medicine ID: 169532, Confidence: 1.7194893832233533
For condition '80', Best Medicine ID: 90995, Confidence: 0.6816946765063687
For condition '247', Best Medicine ID: 222217, Confidence: 0.7589089762816115
For condition '268', Best Medicine ID: 56969, Confidence: 1.4078743719034095
For condition '703', Best Medicine ID: 7934, Confidence: 1.3606096139010897
For condition '775', Best Medicine ID: 161748, Confidence: 1.521619984067021
For condition '764', Best Medicine ID: 217549, Confidence: 1.9416044946727338
For condition '490', Best Medicine ID: 139521, Confidence: 1.4370399315624376
For condition '18', Best Medicine ID: 34620, Confidence: 0.6921589666163817
For condition '605', Best Medicine ID: 61385, Confidence: 1.2932985520045257
For condition '556', Best Medicine ID: 30116, Confidence: 1.8104426994107894
For condition '834', Best Medicine ID: 176071, Confidence: 1.9175051337093714
For condition '205', Best Medicine ID: 187398, Confidence: 1.2228110823819907
For condition '536', Best Medicine ID: 44339, Confidence: 1.2580670593196115
For condition '702', Best Medicine ID: 174705, Confidence: 1.4148721828675879
For condition '13', Best Medicine ID: 34704, Confidence: 0.6905396434607827
For condition '652', Best Medicine ID: 80580, Confidence: 1.6810875627590067
For condition '428', Best Medicine ID: 38281, Confidence: 1.48205801432875
For condition '458', Best Medicine ID: 62868, Confidence: 1.3976284295420967
For condition '201', Best Medicine ID: 79816, Confidence: 0.6240238046358859
For condition '14', Best Medicine ID: 13847, Confidence: 0.4870803535799118
For condition '760', Best Medicine ID: 176092, Confidence: 1.8276316152889214
For condition '699', Best Medicine ID: 198060, Confidence: 1.4785810493186877
For condition '406', Best Medicine ID: 62910, Confidence: 1.6130249077881866
For condition '661', Best Medicine ID: 87800, Confidence: 1.3522657017974036
For condition '192', Best Medicine ID: 60454, Confidence: 1.1889724262391819
For condition '407', Best Medicine ID: 187776, Confidence: 1.2801631358292895
For condition '734', Best Medicine ID: 214640, Confidence: 1.9440678451347884
For condition '808', Best Medicine ID: 131232, Confidence: 1.5366266389596084
For condition '274', Best Medicine ID: 214759, Confidence: 0.9497482089775593
For condition '486', Best Medicine ID: 181554, Confidence: 1.2690741414475954
For condition '629', Best Medicine ID: 103393, Confidence: 1.4850178651424684
For condition '480', Best Medicine ID: 11328, Confidence: 1.5546299192881743
For condition '345', Best Medicine ID: 62876, Confidence: 1.1554423647318663
For condition '776', Best Medicine ID: 18569, Confidence: 1.3928505222436898
For condition '505', Best Medicine ID: 66973, Confidence: 1.1396308624036586
For condition '807', Best Medicine ID: 230873, Confidence: 1.4614486458810367
For condition '16', Best Medicine ID: 60479, Confidence: 0.41020740958589014
For condition '321', Best Medicine ID: 214704, Confidence: 1.1630804558063592
For condition '316', Best Medicine ID: 146689, Confidence: 1.0596831310523762
For condition '242', Best Medicine ID: 92414, Confidence: 0.7214746837850976
For condition '214', Best Medicine ID: 62813, Confidence: 0.7741325420434564
For condition '435', Best Medicine ID: 133558, Confidence: 1.201934945888238
For condition '568', Best Medicine ID: 77986, Confidence: 1.7425212349930095
For condition '43', Best Medicine ID: 50506, Confidence: 0.6131468164774059
For condition '233', Best Medicine ID: 214737, Confidence: 0.7706298179940763
For condition '746', Best Medicine ID: 18935, Confidence: 1.539908672523575
For condition '688', Best Medicine ID: 201400, Confidence: 1.6924968922807095
For condition '358', Best Medicine ID: 59546, Confidence: 0.977487226767062
For condition '144', Best Medicine ID: 115212, Confidence: 0.6998451840164499
For condition '674', Best Medicine ID: 202730, Confidence: 1.7547167140882163
For condition '709', Best Medicine ID: 214656, Confidence: 1.660021274072534
For condition '73', Best Medicine ID: 89995, Confidence: 0.6066767867034701
For condition '489', Best Medicine ID: 90183, Confidence: 1.1413733977742293
For condition '778', Best Medicine ID: 40194, Confidence: 1.4906844891799897
For condition '450', Best Medicine ID: 187324, Confidence: 1.4419157156953877
For condition '243', Best Medicine ID: 56970, Confidence: 0.8190160029841862
For condition '810', Best Medicine ID: 83462, Confidence: 1.524251971187545
For condition '753', Best Medicine ID: 161672, Confidence: 1.5416837477555898
For condition '790', Best Medicine ID: 21401, Confidence: 1.7457410896809802
For condition '562', Best Medicine ID: 175727, Confidence: 1.112407411431934
For condition '823', Best Medicine ID: 3672, Confidence: 1.13136785399707
For condition '558', Best Medicine ID: 53357, Confidence: 1.4780427128893074
For condition '616', Best Medicine ID: 195014, Confidence: 1.4537184705203177
For condition '822', Best Medicine ID: 2090, Confidence: 1.8801194919713096
For condition '440', Best Medicine ID: 220268, Confidence: 1.1197203020483002
For condition '134', Best Medicine ID: 34457, Confidence: 0.684701966627121
For condition '654', Best Medicine ID: 134407, Confidence: 1.3042368267164988
For condition '814', Best Medicine ID: 83439, Confidence: 1.8085975283288853
For condition '720', Best Medicine ID: 7876, Confidence: 1.4315121528466948
For condition '517', Best Medicine ID: 53378, Confidence: 1.2195196296702249
For condition '518', Best Medicine ID: 53376, Confidence: 1.4417690380585964
For condition '65', Best Medicine ID: 194420, Confidence: 0.46789058953053825
For condition '791', Best Medicine ID: 21385, Confidence: 1.6825587084498883
For condition '341', Best Medicine ID: 66873, Confidence: 1.0046597447841132
For condition '332', Best Medicine ID: 221271, Confidence: 0.8117566949298312
For condition '569', Best Medicine ID: 146686, Confidence: 1.4355393288331832
For condition '693', Best Medicine ID: 198060, Confidence: 1.4625081225378436
For condition '796', Best Medicine ID: 18571, Confidence: 1.6785930238415432
For condition '388', Best Medicine ID: 172728, Confidence: 1.0894179812763756
For condition '692', Best Medicine ID: 80569, Confidence: 1.405530202103438
For condition '628', Best Medicine ID: 119056, Confidence: 1.4428478080634863
For condition '389', Best Medicine ID: 137850, Confidence: 1.4446002093827306
For condition '343', Best Medicine ID: 179210, Confidence: 1.3203266902833115
For condition '471', Best Medicine ID: 62855, Confidence: 1.3245709662062728
For condition '794', Best Medicine ID: 56996, Confidence: 1.7181800151998172
For condition '557', Best Medicine ID: 38298, Confidence: 1.4548723670045567
For condition '337', Best Medicine ID: 135127, Confidence: 0.9668131312183073
For condition '229', Best Medicine ID: 209703, Confidence: 0.6912964535009074
For condition '36', Best Medicine ID: 24301, Confidence: 0.3276073627728547
For condition '564', Best Medicine ID: 6020, Confidence: 1.1967864389793397
For condition '446', Best Medicine ID: 29656, Confidence: 1.1579226894063686
For condition '648', Best Medicine ID: 70407, Confidence: 1.4273508355312248
For condition '793', Best Medicine ID: 21340, Confidence: 1.572347675128889
For condition '250', Best Medicine ID: 27607, Confidence: 0.8659234635990689
For condition '115', Best Medicine ID: 24641, Confidence: 0.48641978937130664
For condition '348', Best Medicine ID: 28675, Confidence: 1.1061599898533023
For condition '743', Best Medicine ID: 47133, Confidence: 1.7065152571310773
For condition '263', Best Medicine ID: 43013, Confidence: 0.6662438468372152
For condition '1', Best Medicine ID: 74630, Confidence: 0.7008424263333599
For condition '737', Best Medicine ID: 47131, Confidence: 1.8345292322532938
For condition '657', Best Medicine ID: 56424, Confidence: 1.4915456690172761
For condition '650', Best Medicine ID: 13208, Confidence: 1.5469399205902064
For condition '356', Best Medicine ID: 8811, Confidence: 1.3832095928455344
For condition '206', Best Medicine ID: 179065, Confidence: 1.2689617970316942
For condition '618', Best Medicine ID: 118813, Confidence: 1.5656441818306095
For condition '70', Best Medicine ID: 56120, Confidence: 0.725312356619948
For condition '97', Best Medicine ID: 175298, Confidence: 0.550074793680499
For condition '827', Best Medicine ID: 173431, Confidence: 1.3044164153893798
For condition '631', Best Medicine ID: 222907, Confidence: 1.372592835246325
For condition '833', Best Medicine ID: 113781, Confidence: 0.9515037852957393
For condition '158', Best Medicine ID: 206819, Confidence: 0.6784466203744033
For condition '584', Best Medicine ID: 50418, Confidence: 1.3603247596514816
For condition '663', Best Medicine ID: 1830, Confidence: 1.7552003214946792
For condition '464', Best Medicine ID: 62886, Confidence: 1.4552894912566283
For condition '396', Best Medicine ID: 62923, Confidence: 1.3737170652038944
For condition '523', Best Medicine ID: 117273, Confidence: 1.2565203498493676
For condition '317', Best Medicine ID: 22336, Confidence: 1.2038568592009513
For condition '78', Best Medicine ID: 6644, Confidence: 0.708305432674212
For condition '76', Best Medicine ID: 7948, Confidence: 0.44006251685949754
For condition '610', Best Medicine ID: 201808, Confidence: 1.492347580640187
For condition '726', Best Medicine ID: 175490, Confidence: 1.431346540868586
For condition '698', Best Medicine ID: 195284, Confidence: 1.3211739922749857
For condition '519', Best Medicine ID: 194999, Confidence: 1.1731320489240233
For condition '194', Best Medicine ID: 2665, Confidence: 0.6782543340243883
For condition '98', Best Medicine ID: 191186, Confidence: 0.5473614738076775
For condition '404', Best Medicine ID: 62918, Confidence: 1.5117936693054856
For condition '179', Best Medicine ID: 187302, Confidence: 0.9740092644553533
For condition '745', Best Medicine ID: 47143, Confidence: 1.8289100732644763
For condition '61', Best Medicine ID: 120420, Confidence: 0.45536879496452226
For condition '140', Best Medicine ID: 113524, Confidence: 0.8098948985122867
For condition '772', Best Medicine ID: 197581, Confidence: 1.8979555860071846
For condition '122', Best Medicine ID: 223969, Confidence: 0.580550548635782
For condition '463', Best Medicine ID: 187304, Confidence: 1.6224081058168207
For condition '338', Best Medicine ID: 117242, Confidence: 1.2602888337245606
For condition '185', Best Medicine ID: 145400, Confidence: 0.8958702905819815
For condition '694', Best Medicine ID: 153650, Confidence: 1.1669746083657708
For condition '730', Best Medicine ID: 47124, Confidence: 1.9087247834274836
For condition '443', Best Medicine ID: 117666, Confidence: 1.7465342947455116
For condition '391', Best Medicine ID: 133544, Confidence: 1.3287611457387905
For condition '526', Best Medicine ID: 203562, Confidence: 1.7119399671856743
For condition '434', Best Medicine ID: 27652, Confidence: 1.2475401084297366
For condition '786', Best Medicine ID: 21484, Confidence: 1.9790860049995938
For condition '257', Best Medicine ID: 172664, Confidence: 0.842234568926961
For condition '49', Best Medicine ID: 42765, Confidence: 0.7056057165621517
For condition '570', Best Medicine ID: 24241, Confidence: 1.2559460855294948
For condition '138', Best Medicine ID: 191774, Confidence: 0.5363248114307329
For condition '350', Best Medicine ID: 62879, Confidence: 1.192482670195886
For condition '412', Best Medicine ID: 62913, Confidence: 1.6526227968532585
For condition '749', Best Medicine ID: 153618, Confidence: 1.4807981295076535
For condition '751', Best Medicine ID: 161668, Confidence: 1.6266779969783816
For condition '411', Best Medicine ID: 133540, Confidence: 1.5571786237681526
For condition '576', Best Medicine ID: 195008, Confidence: 1.3376590546615093
For condition '100', Best Medicine ID: 7320, Confidence: 1.0942619975254442
For condition '418', Best Medicine ID: 38280, Confidence: 1.548851373840931
For condition '700', Best Medicine ID: 94900, Confidence: 1.4417659462211252
For condition '241', Best Medicine ID: 27494, Confidence: 0.9909132178262117
For condition '365', Best Medicine ID: 119819, Confidence: 1.1796174746871149
For condition '33', Best Medicine ID: 120412, Confidence: 0.5759936979191504
For condition '3', Best Medicine ID: 135619, Confidence: -0.09959946073838732
For condition '427', Best Medicine ID: 63006, Confidence: 1.174374169064075
For condition '31', Best Medicine ID: 114434, Confidence: 0.3036565929961414
For condition '552', Best Medicine ID: 52730, Confidence: 1.1728259359100823
For condition '510', Best Medicine ID: 117274, Confidence: 1.2973016401890152
For condition '465', Best Medicine ID: 181542, Confidence: 1.1003908252625563
For condition '362', Best Medicine ID: 27640, Confidence: 1.1238115788455691
For condition '695', Best Medicine ID: 208516, Confidence: 1.2886842131432628
For condition '363', Best Medicine ID: 8803, Confidence: 1.4498822536003833
For condition '175', Best Medicine ID: 115251, Confidence: 0.8600160090470308
For condition '738', Best Medicine ID: 161623, Confidence: 1.849479640370932
For condition '2', Best Medicine ID: 74705, Confidence: 0.9803045940303807
For condition '645', Best Medicine ID: 56424, Confidence: 1.5397629060525935
For condition '387', Best Medicine ID: 93880, Confidence: 1.307440150018095
For condition '614', Best Medicine ID: 2895, Confidence: 1.3696957615767966
For condition '545', Best Medicine ID: 77972, Confidence: 1.5819997251800406
For condition '402', Best Medicine ID: 119693, Confidence: 1.2362151655002234
For condition '800', Best Medicine ID: 40235, Confidence: 1.3961225710388758
For condition '408', Best Medicine ID: 62915, Confidence: 1.5857790029686423
For condition '429', Best Medicine ID: 220262, Confidence: 1.037947824667333
For condition '835', Best Medicine ID: 164606, Confidence: 1.6052844546383112
For condition '190', Best Medicine ID: 119267, Confidence: 0.9068538451486821
For condition '754', Best Medicine ID: 47155, Confidence: 1.782404409544236
For condition '410', Best Medicine ID: 187774, Confidence: 1.2913656889724816
For condition '41', Best Medicine ID: 209576, Confidence: 0.6205268303871223
For condition '403', Best Medicine ID: 62903, Confidence: 1.5475224880777936
For condition '119', Best Medicine ID: 21802, Confidence: 0.5780858152552346
For condition '705', Best Medicine ID: 53414, Confidence: 1.1203991385686383
For condition '755', Best Medicine ID: 226112, Confidence: 1.5323004694377858
For condition '567', Best Medicine ID: 126855, Confidence: 1.4229620833082626
For condition '151', Best Medicine ID: 224100, Confidence: 0.6485575634593546
For condition '355', Best Medicine ID: 59546, Confidence: 0.9998792859876557
For condition '137', Best Medicine ID: 145405, Confidence: 0.569347095011246
For condition '335', Best Medicine ID: 62871, Confidence: 1.0819815847527394
For condition '12', Best Medicine ID: 13840, Confidence: 0.4978270198258375
For condition '732', Best Medicine ID: 40861, Confidence: 1.4357406457958273
For condition '120', Best Medicine ID: 105726, Confidence: 0.6698968480535217
For condition '5', Best Medicine ID: 13812, Confidence: 0.5358564092737543
For condition '832', Best Medicine ID: 11439, Confidence: 0.8420612078154561
For condition '801', Best Medicine ID: 46345, Confidence: 1.4276116902692968
For condition '548', Best Medicine ID: 53353, Confidence: 1.470603396942876
For condition '340', Best Medicine ID: 187819, Confidence: 0.9552916445116495
For condition '792', Best Medicine ID: 13084, Confidence: 1.3818930603532793
For condition '290', Best Medicine ID: 105702, Confidence: 1.0960101683454457
For condition '813', Best Medicine ID: 176076, Confidence: 1.891714947862928
For condition '39', Best Medicine ID: 120418, Confidence: 0.4853492685079526
For condition '728', Best Medicine ID: 155499, Confidence: 1.7047697825616015
For condition '599', Best Medicine ID: 20334, Confidence: 1.4152014075668609
For condition '304', Best Medicine ID: 194143, Confidence: 1.071424261446207
For condition '708', Best Medicine ID: 214656, Confidence: 1.649683799202403
For condition '803', Best Medicine ID: 208514, Confidence: 1.695317666661865
For condition '812', Best Medicine ID: 176077, Confidence: 1.8907785866843057
For condition '273', Best Medicine ID: 153849, Confidence: 0.9417904485369966
For condition '199', Best Medicine ID: 146690, Confidence: 0.8133556992692434
For condition '806', Best Medicine ID: 208475, Confidence: 1.835831809779915
For condition '40', Best Medicine ID: 120414, Confidence: 0.5467607144951934
For condition '815', Best Medicine ID: 219209, Confidence: 1.414261018595396
For condition '701', Best Medicine ID: 175552, Confidence: 1.3199365208848688
For condition '797', Best Medicine ID: 46347, Confidence: 1.4062053609792726
For condition '330', Best Medicine ID: 28681, Confidence: 1.1001555082012282
For condition '824', Best Medicine ID: 173430, Confidence: 1.2781366737208961
For condition '532', Best Medicine ID: 53361, Confidence: 1.5322157718266287
For condition '499', Best Medicine ID: 181561, Confidence: 1.3656749852359065
For condition '566', Best Medicine ID: 175727, Confidence: 1.281030677957773
For condition '333', Best Medicine ID: 135118, Confidence: 0.9792117480060796
For condition '712', Best Medicine ID: 1886, Confidence: 1.8191345792345692
For condition '830', Best Medicine ID: 219201, Confidence: 1.5235829104708185
